(
(     0.0	-0.18558)
(  1800.0	-0.30466)
(  3600.0	-1.12829)
(  5400.0	-1.11743)
(  7200.0	-3.48346)
(  9000.0	-0.36753)
( 10800.0	-0.48453)
( 12600.0	-0.35047)
( 14400.0	-0.61140)
( 16200.0	-1.24189)
( 18000.0	-0.68750)
( 19800.0	-1.13498)
( 21600.0	-3.94588)
( 23400.0	-4.86765)
( 25200.0	-5.82397)
( 27000.0	-3.79536)
( 28800.0	-2.94913)
( 30600.0	-0.89622)
( 32400.0	 0.11843)
( 34200.0	 0.73619)
( 36000.0	 4.79544)
( 37800.0	10.57764)
( 39600.0	 1.63823)
( 41400.0	 1.50284)
( 43200.0	 2.10791)
( 45000.0	 1.14820)
( 46800.0	 2.26272)
( 48600.0	 2.26541)
( 50400.0	 5.52117)
( 52200.0	 2.76379)
( 54000.0	 4.74900)
( 55800.0	19.03419)
( 57600.0	 6.40143)
( 59400.0	 7.52137)
( 61200.0	 4.44047)
( 63000.0	 0.54306)
( 64800.0	 0.37436)
( 66600.0	-0.09017)
( 68400.0	-3.16798)
( 70200.0	-3.09811)
( 72000.0	 0.51880)
( 73800.0	 0.22065)
( 75600.0	-0.03265)
( 77400.0	-0.13366)
( 79200.0	-0.08005)
( 81000.0	-0.20172)
( 82800.0	-0.37968)
( 84600.0	-5.34056)
( 86400.0	-9.46609)
( 88200.0	-5.26831)
( 90000.0	-5.52218)
( 91800.0	-9.64629)
( 93600.0	-6.70125)
( 95400.0	-12.67666)
( 97200.0	-4.25369)
( 99000.0	-4.71556)
(100800.0	-7.29551)
(102600.0	-4.19768)
(104400.0	-3.62718)
(106200.0	-4.98169)
(108000.0	-16.75034)
(109800.0	-14.13847)
(111600.0	-14.05301)
(113400.0	-18.44579)
(115200.0	-6.56710)
(117000.0	-1.69795)
(118800.0	-0.60283)
(120600.0	-0.36470)
(122400.0	-0.27268)
(124200.0	-0.09423)
(126000.0	 0.05955)
(127800.0	 0.20008)
(129600.0	 0.66499)
(131400.0	 0.69706)
(133200.0	 1.23782)
(135000.0	 2.57634)
(136800.0	 1.34663)
(138600.0	 1.77332)
(140400.0	 2.85303)
(142200.0	14.90827)
(144000.0	 7.38778)
(145800.0	49.49597)
(147600.0	12.06504)
(149400.0	 5.98109)
(151200.0	 2.38586)
(153000.0	-0.51587)
(154800.0	-1.49473)
(156600.0	-1.07544)
(158400.0	-1.93654)
(160200.0	-1.90954)
(162000.0	-2.04126)
(163800.0	-5.20094)
(165600.0	-17.99878)
(167400.0	-0.29738)
(169200.0	-0.10783)
(171000.0	-0.26859)
)
