(
(     0.0	 0.43902)
(  1800.0	 0.59992)
(  3600.0	 1.17828)
(  5400.0	 1.17325)
(  7200.0	 1.83298)
(  9000.0	 0.66936)
( 10800.0	 0.78009)
( 12600.0	 0.65133)
( 14400.0	 0.88090)
( 16200.0	 1.22882)
( 18000.0	 0.93433)
( 19800.0	 1.18137)
( 21600.0	 1.91290)
( 23400.0	 2.05054)
( 25200.0	 2.17103)
( 27000.0	 1.88781)
( 28800.0	 1.72839)
( 30600.0	 1.06127)
( 32400.0	-0.59215)
( 34200.0	-3.55853)
( 36000.0	-12.69017)
( 37800.0	-17.77326)
( 39600.0	-6.71526)
( 41400.0	-6.31010)
( 43200.0	-7.97556)
( 45000.0	-5.14155)
( 46800.0	-8.34860)
( 48600.0	-8.35490)
( 50400.0	-13.56549)
( 52200.0	-9.44051)
( 54000.0	-12.63029)
( 55800.0	-23.61275)
( 57600.0	-14.49936)
( 59400.0	-15.53246)
( 61200.0	-12.21907)
( 63000.0	-2.70888)
( 64800.0	-1.87181)
( 66600.0	 0.26222)
( 68400.0	 1.77304)
( 70200.0	 1.75908)
( 72000.0	-2.59264)
( 73800.0	-1.10327)
( 75600.0	 0.11347)
( 77400.0	 0.35041)
( 79200.0	 0.23923)
( 81000.0	 0.46380)
( 82800.0	 0.68187)
( 84600.0	 2.11250)
( 86400.0	 2.50986)
( 88200.0	 2.10335)
( 90000.0	 2.13502)
( 91800.0	 2.52337)
( 93600.0	 2.26708)
( 95400.0	 2.72174)
( 97200.0	 1.96171)
( 99000.0	 2.02949)
(100800.0	 2.32598)
(102600.0	 1.95306)
(104400.0	 1.85875)
(106200.0	 2.06595)
(108000.0	 2.92915)
(109800.0	 2.80238)
(111600.0	 2.79788)
(113400.0	 3.00204)
(115200.0	 2.25314)
(117000.0	 1.40060)
(118800.0	 0.87459)
(120600.0	 0.66640)
(122400.0	 0.56107)
(124200.0	 0.27116)
(126000.0	-0.29776)
(127800.0	-1.00039)
(129600.0	-3.25652)
(131400.0	-3.39383)
(133200.0	-5.45259)
(135000.0	-9.05089)
(136800.0	-5.81553)
(138600.0	-7.09960)
(140400.0	-9.61889)
(142200.0	-20.72137)
(144000.0	-15.41691)
(145800.0	-45.80804)
(147600.0	-18.77212)
(149400.0	-14.06882)
(151200.0	-8.63241)
(153000.0	 0.80658)
(154800.0	 1.32932)
(156600.0	 1.15340)
(158400.0	 1.47591)
(160200.0	 1.46778)
(162000.0	 1.50657)
(163800.0	 2.09472)
(165600.0	 2.98344)
(167400.0	 0.59131)
(169200.0	 0.29994)
(171000.0	 0.55591)
)
