(
(     0.0	 0.80579)
(  1800.0	 1.07518)
(  3600.0	 1.97347)
(  5400.0	 1.96602)
(  7200.0	 2.90142)
(  9000.0	 1.18835)
( 10800.0	 1.36542)
( 12600.0	 1.15912)
( 14400.0	 1.52332)
( 16200.0	 2.04792)
( 18000.0	 1.60584)
( 19800.0	 1.97803)
( 21600.0	 3.01002)
( 23400.0	 3.19505)
( 25200.0	 3.35509)
( 27000.0	 2.97603)
( 28800.0	 2.75794)
( 30600.0	 1.79892)
( 32400.0	-0.59215)
( 34200.0	-3.55853)
( 36000.0	-12.69017)
( 37800.0	-17.77326)
( 39600.0	-6.71526)
( 41400.0	-6.31010)
( 43200.0	-7.97556)
( 45000.0	-5.14155)
( 46800.0	-8.34860)
( 48600.0	-8.35490)
( 50400.0	-13.56549)
( 52200.0	-9.44051)
( 54000.0	-12.63029)
( 55800.0	-23.61275)
( 57600.0	-14.49936)
( 59400.0	-15.53246)
( 61200.0	-12.21907)
( 63000.0	-2.70888)
( 64800.0	-1.87181)
( 66600.0	 0.49599)
( 68400.0	 2.81939)
( 70200.0	 2.80021)
( 72000.0	-2.59264)
( 73800.0	-1.10327)
( 75600.0	 0.22114)
( 77400.0	 0.65254)
( 79200.0	 0.45445)
( 81000.0	 0.84798)
( 82800.0	 1.20856)
( 84600.0	 3.27757)
( 86400.0	 3.79634)
( 88200.0	 3.26541)
( 90000.0	 3.30744)
( 91800.0	 3.81368)
( 93600.0	 3.48144)
( 95400.0	 4.06637)
( 97200.0	 3.07592)
( 99000.0	 3.16691)
(100800.0	 3.55841)
(102600.0	 3.06427)
(104400.0	 2.93654)
(106200.0	 3.21561)
(108000.0	 4.32681)
(109800.0	 4.16807)
(111600.0	 4.16241)
(113400.0	 4.41748)
(115200.0	 3.46317)
(117000.0	 2.29712)
(118800.0	 1.51351)
(120600.0	 1.18356)
(122400.0	 1.01109)
(124200.0	 0.51205)
(126000.0	-0.29776)
(127800.0	-1.00039)
(129600.0	-3.25652)
(131400.0	-3.39383)
(133200.0	-5.45259)
(135000.0	-9.05089)
(136800.0	-5.81553)
(138600.0	-7.09960)
(140400.0	-9.61889)
(142200.0	-20.72137)
(144000.0	-15.41691)
(145800.0	-45.80804)
(147600.0	-18.77212)
(149400.0	-14.06882)
(151200.0	-8.63241)
(153000.0	 1.40720)
(154800.0	 2.19441)
(156600.0	 1.93662)
(158400.0	 2.40459)
(160200.0	 2.39304)
(162000.0	 2.44806)
(163800.0	 3.25394)
(165600.0	 4.39439)
(167400.0	 1.06102)
(169200.0	 0.56348)
(171000.0	 1.00253)
)
