(
(     0.0	 0.00003)
(  1800.0	 0.00003)
(  3600.0	 0.00005)
(  5400.0	 0.00005)
(  7200.0	 0.00007)
(  9000.0	 0.00003)
( 10800.0	 0.00003)
( 12600.0	 0.00003)
( 14400.0	 0.00003)
( 16200.0	 0.00004)
( 18000.0	 0.00004)
( 19800.0	 0.00004)
( 21600.0	 0.00006)
( 23400.0	 0.00006)
( 25200.0	 0.00006)
( 27000.0	 0.00005)
( 28800.0	 0.00005)
( 30600.0	 0.00006)
( 32400.0	 0.00004)
( 34200.0	 0.00005)
( 36000.0	 0.00009)
( 37800.0	 0.00013)
( 39600.0	 0.00004)
( 41400.0	 0.00004)
( 43200.0	 0.00005)
( 45000.0	 0.00004)
( 46800.0	 0.00005)
( 48600.0	 0.00005)
( 50400.0	 0.00008)
( 52200.0	 0.00006)
( 54000.0	 0.00008)
( 55800.0	 0.00016)
( 57600.0	 0.00009)
( 59400.0	 0.00010)
( 61200.0	 0.00008)
( 63000.0	 0.00003)
( 64800.0	 0.00004)
( 66600.0	 0.00004)
( 68400.0	 0.00006)
( 70200.0	 0.00006)
( 72000.0	 0.00010)
( 73800.0	 0.00004)
( 75600.0	 0.00003)
( 77400.0	 0.00004)
( 79200.0	 0.00005)
( 81000.0	 0.00004)
( 82800.0	 0.00003)
( 84600.0	 0.00004)
( 86400.0	 0.00005)
( 88200.0	 0.00004)
( 90000.0	 0.00005)
( 91800.0	 0.00006)
( 93600.0	 0.00005)
( 95400.0	 0.00006)
( 97200.0	 0.00004)
( 99000.0	 0.00004)
(100800.0	 0.00005)
(102600.0	 0.00004)
(104400.0	 0.00004)
(106200.0	 0.00004)
(108000.0	 0.00006)
(109800.0	 0.00006)
(111600.0	 0.00006)
(113400.0	 0.00006)
(115200.0	 0.00005)
(117000.0	 0.00003)
(118800.0	 0.00003)
(120600.0	 0.00003)
(122400.0	 0.00003)
(124200.0	 0.00003)
(126000.0	 0.00003)
(127800.0	 0.00003)
(129600.0	 0.00004)
(131400.0	 0.00003)
(133200.0	 0.00004)
(135000.0	 0.00005)
(136800.0	 0.00004)
(138600.0	 0.00004)
(140400.0	 0.00005)
(142200.0	 0.00012)
(144000.0	 0.00008)
(145800.0	 0.00026)
(147600.0	 0.00012)
(149400.0	 0.00010)
(151200.0	 0.00007)
(153000.0	 0.00006)
(154800.0	 0.00006)
(156600.0	 0.00005)
(158400.0	 0.00004)
(160200.0	 0.00004)
(162000.0	 0.00004)
(163800.0	 0.00006)
(165600.0	 0.00008)
(167400.0	 0.00003)
(169200.0	 0.00004)
(171000.0	 0.00003)
)
