(
(     0.0	 0.07646)
(  1800.0	 0.06352)
(  3600.0	 0.03977)
(  5400.0	 0.03500)
(  7200.0	 0.02713)
(  9000.0	 0.06641)
( 10800.0	 0.05950)
( 12600.0	 0.06497)
( 14400.0	 0.05836)
( 16200.0	 0.04465)
( 18000.0	 0.05191)
( 19800.0	 0.04468)
( 21600.0	 0.03049)
( 23400.0	 0.03029)
( 25200.0	 0.03147)
( 27000.0	 0.03481)
( 28800.0	 0.03272)
( 30600.0	 0.02971)
( 32400.0	 0.04996)
( 34200.0	 0.03797)
( 36000.0	 0.01982)
( 37800.0	 0.01404)
( 39600.0	 0.04495)
( 41400.0	 0.04832)
( 43200.0	 0.03915)
( 45000.0	 0.05547)
( 46800.0	 0.03834)
( 48600.0	 0.04035)
( 50400.0	 0.02264)
( 52200.0	 0.03423)
( 54000.0	 0.02442)
( 55800.0	 0.01162)
( 57600.0	 0.02115)
( 59400.0	 0.01893)
( 61200.0	 0.02464)
( 63000.0	 0.06809)
( 64800.0	 0.04525)
( 66600.0	 0.04443)
( 68400.0	 0.02998)
( 70200.0	 0.02968)
( 72000.0	 0.01731)
( 73800.0	 0.04796)
( 75600.0	 0.12205)
( 77400.0	 0.14505)
( 79200.0	 0.16641)
( 81000.0	 0.12943)
( 82800.0	 0.11399)
( 84600.0	 0.04044)
( 86400.0	 0.03524)
( 88200.0	 0.04107)
( 90000.0	 0.03803)
( 91800.0	 0.02953)
( 93600.0	 0.03752)
( 95400.0	 0.02912)
( 97200.0	 0.04555)
( 99000.0	 0.04259)
(100800.0	 0.03642)
(102600.0	 0.04494)
(104400.0	 0.04887)
(106200.0	 0.04415)
(108000.0	 0.02860)
(109800.0	 0.03064)
(111600.0	 0.02929)
(113400.0	 0.02688)
(115200.0	 0.03738)
(117000.0	 0.05939)
(118800.0	 0.08355)
(120600.0	 0.09412)
(122400.0	 0.09187)
(124200.0	 0.09132)
(126000.0	 0.07499)
(127800.0	 0.07720)
(129600.0	 0.05246)
(131400.0	 0.06169)
(133200.0	 0.04955)
(135000.0	 0.03549)
(136800.0	 0.05717)
(138600.0	 0.05108)
(140400.0	 0.03961)
(142200.0	 0.01501)
(144000.0	 0.02300)
(145800.0	 0.00729)
(147600.0	 0.01604)
(149400.0	 0.01892)
(151200.0	 0.02741)
(153000.0	 0.03275)
(154800.0	 0.03103)
(156600.0	 0.03552)
(158400.0	 0.04216)
(160200.0	 0.04123)
(162000.0	 0.04281)
(163800.0	 0.03054)
(165600.0	 0.02066)
(167400.0	 0.07458)
(169200.0	 0.13421)
(171000.0	 0.10218)
)
